Location,Mascot,Passing Yards ,Passing Touchdowns ,Rushing Touchdowns,Rush Yards,Y/C,ANY/A,Pressures,Fantasy Points
Arizona,Cardinals,9.81,4.89,0.33,1.82,11.12,6.91,0.151,17.74
Atlanta,Falcons,8.02,6.00,0.10,2.87,8.86,5.98,0.169,16.99
Baltimore,Ravens,12.51,7.56,0.11,1.26,12.10,7.16,0.219,22.03
Buffalo,Bills,8.66,4.89,0.11,2.11,9.91,5.77,0.179,14.55
Carolina,Panthers,8.55,7.20,0.10,1.22,11.29,8.26,0.127,17.23
Chicago,Bears,8.27,2.50,0.00,1.70,11.38,4.71,0.258,10.97
Cincinnati,Bengals,6.78,4.33,0.33,2.53,10.28,6.10,0.237,14.81
Dallas,Cowboys,9.14,6.50,0.38,2.71,13.29,9.09,0.263,19.73
Denver,Broncos,7.28,4.00,0.10,1.51,10.02,5.30,0.256,12.29
Detroit,Lions,10.65,3.00,0.25,2.33,11.41,5.12,0.269,16.48
Green Bay,Packers,9.13,5.11,0.11,1.53,11.09,5.63,0.235,14.89
Houston,Texans,7.63,8.44,0.11,2.68,12.70,5.34,0.256,18.14
Indianapolis,Colts,9.23,5.60,0.20,1.64,10.79,6.87,0.224,16.31
Jacksonville,Jaguars,10.17,7.60,0.30,3.05,11.95,8.60,0.163,21.42
Kansas City,Chiefs,8.63,5.50,0.25,2.41,10.44,6.06,0.260,16.67
Las Vegas,Raiders,8.57,6.67,0.33,1.94,10.12,5.99,0.188,18.63
Los Angeles,Rams,9.69,7.50,0.00,1.91,13.25,7.44,0.251,17.60
Los Angeles,Chargers,7.58,3.11,0.22,2.12,10.57,4.63,0.147,12.92
Miami,Dolphins,7.66,4.00,0.00,1.26,10.95,6.25,0.206,12.53
Minnesota,Vikings,10.71,7.00,0.00,0.45,10.80,5.24,0.287,16.41
New England,Patriots,9.50,5.33,0.00,1.09,11.81,7.29,0.176,15.70
New Orleans,Saints,10.44,3.56,0.11,2.59,11.73,5.66,0.184,15.97
New York,Jets,6.34,2.40,0.30,2.00,11.00,5.00,0.253,12.04
New York,Giants,8.64,4.89,0.33,2.92,11.13,7.09,0.216,17.84
Philadelphia,Eagles,8.66,4.57,0.14,0.91,10.81,5.68,0.183,14.58
Pittsburgh,Steelers,9.19,4.00,0.00,0.40,10.74,5.04,0.238,12.15
San Francisco,49ers,8.77,4.50,0.25,1.94,11.40,5.27,0.225,15.27
Seattle,Seahawks,8.94,5.78,0.11,1.33,10.93,6.69,0.223,16.79
Tampa,Buccaneers,11.40,8.89,0.44,2.93,10.82,7.16,0.203,24.33
Tennessee,Titans,6.92,5.50,0.13,2.34,9.63,5.62,0.184,16.19
Washington,Commanders,8.13,6.22,0.11,2.42,10.89,6.43,0.248,16.77
