Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles,Fantasy Points
19.000,24.000,208.000,8.000,195.000,140.000,68.000,0.192,8.700,8.460,10.947,113.200,8.040,7.840,3.000,1.000,2.000,0.700,0.300,0.000,0.083,2.000,1.000,1.000,7.000,0.000,15.620
23.000,29.000,226.000,11.000,111.000,84.000,142.000,0.263,7.800,7.790,9.826,99.100,6.176,6.176,44.000,2.000,34.000,3.400,10.000,0.000,0.000,0.000,0.000,5.000,16.000,0.000,13.440
21.000,37.000,196.000,7.000,289.000,122.000,74.000,0.298,5.300,6.380,9.333,89.500,3.289,4.178,26.000,2.000,15.000,3.800,11.000,0.000,0.054,2.000,0.000,8.000,48.000,2.000,14.440
22.000,27.000,221.000,9.000,149.000,107.000,114.000,0.143,8.200,9.670,10.045,125.500,7.607,9.036,-1.000,0.000,-1.000,-0.500,0.000,0.000,0.074,2.000,0.000,1.000,8.000,0.000,16.740
28.000,40.000,284.000,14.000,198.000,141.000,143.000,0.176,7.100,7.600,10.143,98.300,4.915,5.340,72.000,2.000,65.000,16.300,7.000,0.000,0.025,1.000,0.000,7.000,53.000,0.000,22.560
19.000,28.000,208.000,10.000,156.000,107.000,101.000,0.265,7.400,7.430,10.947,89.600,5.719,5.719,55.000,2.000,55.000,13.800,0.000,1.000,0.000,0.000,0.000,4.000,25.000,0.000,19.820
10.000,14.000,114.000,6.000,100.000,76.000,38.000,0.286,8.100,9.570,11.400,119.300,4.333,5.444,22.000,4.000,3.000,0.400,19.000,2.000,0.071,1.000,0.000,4.000,36.000,0.000,22.760
20.000,28.000,278.000,12.000,257.000,177.000,101.000,0.242,9.900,10.640,13.900,114.900,8.094,8.719,7.000,0.000,7.000,2.300,0.000,0.000,0.036,1.000,0.000,4.000,19.000,1.000,13.820
15.000,22.000,209.000,8.000,132.000,102.000,107.000,0.080,9.500,11.320,13.933,128.800,9.500,11.318,35.000,3.000,24.000,3.000,11.000,0.000,0.091,2.000,0.000,0.000,0.000,0.000,19.860
15.000,25.000,126.000,6.000,165.000,81.000,45.000,0.357,5.000,5.840,8.400,86.400,4.538,5.308,30.000,1.000,29.000,14.500,1.000,0.000,0.040,1.000,0.000,1.000,8.000,0.000,12.040
24.000,30.000,294.000,12.000,209.000,153.000,141.000,0.094,9.800,9.800,12.250,107.500,9.800,9.800,29.000,3.000,26.000,6.500,3.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,16.660
21.000,36.000,195.000,10.000,271.000,76.000,119.000,0.081,5.400,5.970,9.286,82.500,5.417,5.972,0.000,-2.000,-2.000,-0.400,2.000,0.000,0.028,1.000,0.000,0.000,0.000,1.000,9.800
